id,latitude,longitude,SiteName,StartLat,StartLong,EndLat,EndLong
RWS01_MONIBAS_0091hrl0478ra,52.42557,4.68404,0091hrl0478ra,,,,
RWS01_MONIBAS_0091hrl0478ra0,52.42557,4.68404,0091hrl0478ra0,52.42557,4.68404,52.42205,4.69023
RWS01_MONIBAS_0091hrl0481ra,52.42767,4.68123,0091hrl0481ra,,,,
RWS01_MONIBAS_0091hrl0481ra0,52.42767,4.68123,0091hrl0481ra0,52.42767,4.68123,52.42557,4.68404
RWS01_MONIBAS_0091hrl0484ra,52.42992,4.67881,0091hrl0484ra,,,,
RWS01_MONIBAS_0091hrl0484ra0,52.42992,4.67881,0091hrl0484ra0,52.42992,4.67881,52.42767,4.68123
RWS01_MONIBAS_0091hrl0488ra,52.4328,4.67581,0091hrl0488ra,,,,
RWS01_MONIBAS_0091hrl0490ra,52.4341,4.67445,0091hrl0490ra,,,,
RWS01_MONIBAS_0220vwd0130ra,52.47364,4.65357,0220vwd0130ra,,,,
RWS01_MONIBAS_0221hrl0091ra,52.43891,4.66948,0221hrl0091ra,,,,
RWS01_MONIBAS_0221hrl0093ra,52.44045,4.66788,0221hrl0093ra,,,,
RWS01_MONIBAS_0221hrl0097ra,52.44417,4.66392,0221hrl0097ra,,,,
RWS01_MONIBAS_0221hrl0097ra0,52.44417,4.66392,0221hrl0097ra0,52.44417,4.66392,52.43891,4.66948
RWS01_MONIBAS_0221hrl0102ra,52.44756,4.66072,0221hrl0102ra,,,,
RWS01_MONIBAS_0221hrl0102ra0,52.44756,4.66072,0221hrl0102ra0,52.44756,4.66072,52.44417,4.66392
RWS01_MONIBAS_0221hrl0108ra,52.45261,4.65787,0221hrl0108ra,,,,
RWS01_MONIBAS_0221hrl0108ra0,52.45261,4.65787,0221hrl0108ra0,52.45261,4.65787,52.44756,4.66072
RWS01_MONIBAS_0221hrl0110ra,52.45506,4.65695,0221hrl0110ra,,,,
RWS01_MONIBAS_0221hrl0113ra,52.45708,4.65623,0221hrl0113ra,,,,
RWS01_MONICA_00D005023C4AD0050305,52.39346,4.79304,00D005023C4AD0050305,,,,
RWS01_MONICA_00D005023C5ED0070007,52.39334,4.79333,00D005023C5ED0070007,,,,
RWS01_MONICA_00D005023C5ED007000B,52.39334,4.79333,00D005023C5ED007000B,,,,
RWS01_MONICA_00D005023C5ED0070307,52.39334,4.79333,00D005023C5ED0070307,,,,
RWS01_MONICA_00D005024C2FD0050005,52.39346,4.79851,00D005024C2FD0050005,,,,
RWS01_MONICA_00D005024C2FD0050009,52.39346,4.79851,00D005024C2FD0050009,,,,
RWS01_MONICA_00D005024C43D0070007,52.39336,4.7988,00D005024C43D0070007,,,,
RWS01_MONICA_00D005024C43D007000B,52.39336,4.7988,00D005024C43D007000B,,,,
RWS01_MONICA_00D005026028D0050005,52.39313,4.80575,00D005026028D0050005,,,,
RWS01_MONICA_00D005026028D0050009,52.39313,4.80575,00D005026028D0050009,,,,
RWS01_MONIBAS_0121hrl0196ra0,52.03135,4.5609,0121hrl0196ra0,52.03135,4.5609,52.03239,4.55647
RWS01_MONIBAS_0121hrl0201ra,52.02956,4.56755,0121hrl0201ra,,,,
RWS01_MONIBAS_0121hrl0201ra0,52.02956,4.56755,0121hrl0201ra0,52.02956,4.56755,52.03135,4.5609
RWS01_MONIBAS_0121hrl0205ra,52.02852,4.57252,0121hrl0205ra,,,,
RWS01_MONIBAS_0121hrl0205ra0,52.02852,4.57252,0121hrl0205ra0,52.02852,4.57252,52.02956,4.56755
RWS01_MONIBAS_0121hrl0208ra,52.02757,4.57751,0121hrl0208ra,,,,
RWS01_MONIBAS_0121hrl0208ra0,52.02757,4.57751,0121hrl0208ra0,52.02757,4.57751,52.02852,4.57252
RWS01_MONIBAS_0121hrl0213ra,52.02551,4.58415,0121hrl0213ra,,,,
RWS01_MONIBAS_0121hrl0213ra0,52.02551,4.58415,0121hrl0213ra0,52.02551,4.58415,52.02757,4.57751
RWS01_MONIBAS_0121hrl0219ra,52.02324,4.59206,0121hrl0219ra,,,,
RWS01_MONIBAS_0121hrl0219ra0,52.02324,4.59206,0121hrl0219ra0,52.02324,4.59206,52.02551,4.58415
RWS01_MONIBAS_0141hrr0144ra,52.07863,4.38732,0141hrr0144ra,,,,
RWS01_MONIBAS_0141hrr0144ra0,52.07863,4.38732,0141hrr0144ra0,52.07863,4.38732,52.07641,4.39078
RWS01_MONIBAS_0141hrr0145ra,52.07761,4.38877,0141hrr0145ra,,,,
RWS01_MONIBAS_0141hrr0147ra,52.07641,4.39078,0141hrr0147ra,,,,
RWS01_MONIBAS_0141hrr0147ra0,52.07641,4.39078,0141hrr0147ra0,52.07641,4.39078,52.07238,4.3915
RWS01_MONIBAS_0150vwa0257ra,51.93193,4.0986,0150vwa0257ra,,,,
RWS01_MONIBAS_0150vwa0392ra,51.89466,4.25825,0150vwa0392ra,,,,
RWS01_MONIBAS_0150vwa0445ra,51.86817,4.30097,0150vwa0445ra,,,,
RWS01_MONIBAS_0150vwa0530ra,51.87167,4.42197,0150vwa0530ra,,,,
RWS01_MONIBAS_0150vwa0539ra,51.86864,4.43619,0150vwa0539ra,,,,
RWS01_MONIBAS_0150vwa0780ra,51.84045,4.70632,0150vwa0780ra,,,,
RWS01_MONIBAS_0151hrr0990ra0,51.84466,4.9979,0151hrr0990ra0,51.84466,4.9979,51.84291,5.00601
RWS01_MONIBAS_0151hrr0993ra,51.84359,5.00197,0151hrr0993ra,,,,
RWS01_MONIBAS_0151hrr0994ra,51.84332,5.0034,0151hrr0994ra,,,,
RWS01_MONIBAS_0151hrr0996ra,51.84291,5.00601,0151hrr0996ra,,,,
RWS01_MONIBAS_0151hrr0996ra0,51.84291,5.00601,0151hrr0996ra0,51.84291,5.00601,51.84215,5.0113
RWS01_MONIBAS_0151hrr1000ra,51.84215,5.0113,0151hrr1000ra,,,,
RWS01_MONIBAS_0151hrr1000ra0,51.84215,5.0113,0151hrr1000ra0,51.84215,5.0113,51.84159,5.01994
RWS01_MONIBAS_0151hrr1006ra,51.84159,5.01994,0151hrr1006ra,,,,
RWS01_MONIBAS_0151hrr1006ra0,51.84159,5.01994,0151hrr1006ra0,51.84159,5.01994,51.84104,5.02858
RWS01_MONIBAS_0151hrr1012ra,51.84104,5.02858,0151hrr1012ra,,,,
RWS01_MONIBAS_0151hrr1012ra0,51.84104,5.02858,0151hrr1012ra0,51.84104,5.02858,51.84065,5.03288
RWS01_MONIBAS_0091hrl0490ra0,52.4341,4.67445,0091hrl0490ra0,52.4341,4.67445,52.42992,4.67881
RWS01_MONIBAS_0091hrl0493ra,52.436,4.67249,0091hrl0493ra,,,,
RWS01_MONIBAS_0091hrl0496ra,52.43879,4.66978,0091hrl0496ra,,,,
RWS01_MONIBAS_0091hrl0496ra0,52.43879,4.66978,0091hrl0496ra0,52.43879,4.66978,52.4341,4.67445
RWS01_MONIBAS_0091hrl0500ra,52.44216,4.66772,0091hrl0500ra,,,,
RWS01_MONIBAS_0091hrl0500ra0,52.44216,4.66772,0091hrl0500ra0,52.44216,4.66772,52.43879,4.66978
RWS01_MONIBAS_0091hrl0504ra,52.44528,4.6669,0091hrl0504ra,,,,
RWS01_MONIBAS_0091hrl0504ra0,52.44528,4.6669,0091hrl0504ra0,52.44528,4.6669,52.44216,4.66772
RWS01_MONIBAS_0091hrl0509ra,52.44977,4.66725,0091hrl0509ra,,,,
RWS01_MONIBAS_0091hrl0509ra0,52.44977,4.66725,0091hrl0509ra0,52.44977,4.66725,52.44528,4.6669
RWS01_MONIBAS_0091hrl0512ra,52.45241,4.66824,0091hrl0512ra,,,,
RWS01_MONIBAS_0091hrl0514ra,52.45407,4.66894,0091hrl0514ra,,,,
RWS01_MONIBAS_0091hrl0514ra0,52.45407,4.66894,0091hrl0514ra0,52.45407,4.66894,52.44977,4.66725
RWS01_MONIBAS_0091hrl0516ra,52.45582,4.66966,0091hrl0516ra,,,,
RWS01_MONIBAS_0091hrl0517ra,52.4567,4.67003,0091hrl0517ra,,,,
RWS01_MONIBAS_0091hrl0518ra,52.45757,4.6704,0091hrl0518ra,,,,
RWS01_MONIBAS_0091hrl0518ra0,52.45757,4.6704,0091hrl0518ra0,52.45757,4.6704,52.45407,4.66894
RWS01_MONIBAS_0091hrl0523ra,52.46188,4.67243,0091hrl0523ra,,,,
RWS01_MONIBAS_0091hrl0523ra0,52.46188,4.67243,0091hrl0523ra0,52.46188,4.67243,52.45757,4.6704
RWS01_MONIBAS_0091hrl0525ra,52.46364,4.67353,0091hrl0525ra,,,,
